Key,Route Code,SUBROUTE,Dominant Marketing Airline,합계 : Pax,OBD,Weight
P/FUKTW,P/FUK,PUS-FUK,TW,"5,628 ","19,980 ",28%
P/FUKZE,P/FUK,PUS-FUK,ZE,"4,319 ","21,035 ",21%
P/NRT7C,P/NRT,PUS-NRT,7C,"3,911 ","21,449 ",18%
P/NRTBX,P/NRT,PUS-NRT,BX,"3,852 ","12,802 ",30%
P/NRTH1,P/NRT,PUS-NRT,H1,109 ,0 ,0%
P/NRTJL,P/NRT,PUS-NRT,JL,116 ,0 ,0%
P/NRTKE,P/NRT,PUS-NRT,KE,"18,569 ","18,453 ",101%
P/NRTLJ,P/NRT,PUS-NRT,LJ,"4,832 ","22,095 ",22%
P/NRTOZ,P/NRT,PUS-NRT,OZ,82 ,0 ,0%
I/HNDJL,I/HND,ICN-HND,JL,65 ,0 ,0%
I/HNDKE,I/HND,ICN-HND,KE,"10,869 ","11,460 ",95%
I/HNDNH,I/HND,ICN-HND,NH,24 ,0 ,0%
I/HNDOZ,I/HND,ICN-HND,OZ,"9,197 ","10,181 ",90%
P/NGOJL,P/NGO,PUS-NGO,JL,14 ,0 ,0%
P/NGOKE,P/NGO,PUS-NGO,KE,"6,912 ",0 ,0%
P/NGOLJ,P/NGO,PUS-NGO,LJ,"1,774 ",0 ,0%
I/KOJJL,I/KOJ,ICN-KOJ,JL,4 ,0 ,0%
I/KOJKE,I/KOJ,ICN-KOJ,KE,"3,460 ","3,112 ",111%
I/KMJKE,I/KMJ,ICN-KMJ,KE,"3,271 ","2,696 ",121%
I/KMJTW,I/KMJ,ICN-KMJ,TW,"1,032 ","8,843 ",12%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
